hotelname,stars,rating,reviews,roomtype,checkin_date,checkout_date,occupancy,price,breakfast,currency,url
4 Trees Apartments by Adrez Living,4,8.7,1155,Apartmán Twig s 1 ložnicí,2023-12-10,2023-12-11,4,3221,0,Kč,https://www.booking.com/hotel/cz/four-trees-prague.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=125&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=25b26593268c000f&srepoch=1701181608&all_sr_blocks=215394301_96994095_4_0_0&highlighted_blocks=215394301_96994095_4_0_0&matching_block_id=215394301_96994095_4_0_0&sr_pri_blocks=215394301_96994095_4_0_0__13230&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4 Trees Apartments by Adrez Living,4,8.7,1155,Apartmán Twig s 1 ložnicí,2023-12-10,2023-12-11,5,3708,0,Kč,https://www.booking.com/hotel/cz/four-trees-prague.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=125&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=25b26593268c000f&srepoch=1701181608&all_sr_blocks=215394301_96994095_4_0_0&highlighted_blocks=215394301_96994095_4_0_0&matching_block_id=215394301_96994095_4_0_0&sr_pri_blocks=215394301_96994095_4_0_0__13230&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4 Trees Apartments by Adrez Living,4,8.7,1155,Apartmán Deluxe s jednou ložnicí,2023-12-10,2023-12-11,4,3725,0,Kč,https://www.booking.com/hotel/cz/four-trees-prague.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=125&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=25b26593268c000f&srepoch=1701181608&all_sr_blocks=215394301_96994095_4_0_0&highlighted_blocks=215394301_96994095_4_0_0&matching_block_id=215394301_96994095_4_0_0&sr_pri_blocks=215394301_96994095_4_0_0__13230&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4 Trees Apartments by Adrez Living,4,8.7,1155,Apartmán Deluxe s jednou ložnicí,2023-12-10,2023-12-11,5,4212,0,Kč,https://www.booking.com/hotel/cz/four-trees-prague.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-10&checkout=2023-12-11&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=125&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=25b26593268c000f&srepoch=1701181608&all_sr_blocks=215394301_96994095_4_0_0&highlighted_blocks=215394301_96994095_4_0_0&matching_block_id=215394301_96994095_4_0_0&sr_pri_blocks=215394301_96994095_4_0_0__13230&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Apartment IRON CUBE,0,9.2,8,Apartmán s 1 ložnicí,2023-12-11,2023-12-12,2,2191,0,Kč,https://www.booking.com/hotel/cz/apartment-residence-iron-cube.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-12&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=100&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=48116595b0c300ea&srepoch=1701181612&all_sr_blocks=722482801_309625502_2_0_0&highlighted_blocks=722482801_309625502_2_0_0&matching_block_id=722482801_309625502_2_0_0&sr_pri_blocks=722482801_309625502_2_0_0__9000&from=searchresults#hotelTmpl
Prague Letna Apartments,4,9.2,124,Apartmán s vestavěným podlažím,2023-12-11,2023-12-12,2,2788,0,Kč,https://www.booking.com/hotel/cz/prague-letna-apartments.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-12&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=99&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=48116595b0c300ea&srepoch=1701181612&all_sr_blocks=200873005_201360866_2_0_0&highlighted_blocks=200873005_201360866_2_0_0&matching_block_id=200873005_201360866_2_0_0&sr_pri_blocks=200873005_201360866_2_0_0__11450&from=searchresults#hotelTmpl
Prague Letna Apartments,4,9.2,124,Apartmán s vestavěným podlažím,2023-12-11,2023-12-12,2,3326,0,Kč,https://www.booking.com/hotel/cz/prague-letna-apartments.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-12&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=99&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=48116595b0c300ea&srepoch=1701181612&all_sr_blocks=200873005_201360866_2_0_0&highlighted_blocks=200873005_201360866_2_0_0&matching_block_id=200873005_201360866_2_0_0&sr_pri_blocks=200873005_201360866_2_0_0__11450&from=searchresults#hotelTmpl
Prague Letna Apartments,4,9.2,124,Apartmán s vestavěným podlažím,2023-12-11,2023-12-12,1,2605,0,Kč,https://www.booking.com/hotel/cz/prague-letna-apartments.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-12&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=99&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=48116595b0c300ea&srepoch=1701181612&all_sr_blocks=200873005_201360866_2_0_0&highlighted_blocks=200873005_201360866_2_0_0&matching_block_id=200873005_201360866_2_0_0&sr_pri_blocks=200873005_201360866_2_0_0__11450&from=searchresults#hotelTmpl
Prague Letna Apartments,4,9.2,124,Apartmán s vestavěným podlažím,2023-12-11,2023-12-12,1,3116,0,Kč,https://www.booking.com/hotel/cz/prague-letna-apartments.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-12&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=99&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=48116595b0c300ea&srepoch=1701181612&all_sr_blocks=200873005_201360866_2_0_0&highlighted_blocks=200873005_201360866_2_0_0&matching_block_id=200873005_201360866_2_0_0&sr_pri_blocks=200873005_201360866_2_0_0__11450&from=searchresults#hotelTmpl
LYLY - Modern apartment with free parking in Prague,0,8.7,66,Apartmán,2023-12-11,2023-12-12,2,2799,0,Kč,https://www.booking.com/hotel/cz/lyly-apartment.cs.html?label=gog235jc-1FCAEoggI46AdIM1gDaDqIAQGYAQW4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4ArOak6oGwAIB0gIkY2M5MGNmZTYtNzM0Mi00OGY1LTlkZTgtYjA1ZTRiM2JkZGEx2AIG4AIB&sid=c0b14234663a36fc66ae8b417d55092c&aid=397594&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-12&dest_id=-553173&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=98&sr_order=popularity&nflt=ht_id%3D201%3Broomfacility%3D38%3Bhotelfacility%3D2%3Breview_score%3D80%3Bhotelfacility%3D107&srpvid=48116595b0c300ea&srepoch=1701181612&all_sr_blocks=881440401_362696692_2_0_0&highlighted_blocks=881440401_362696692_2_0_0&matching_block_id=881440401_362696692_2_0_0&sr_pri_blocks=881440401_362696692_2_0_0__12100&from=searchresults#hotelTmpl
